,Action_1,Action_2,Action_3,Action_4
2049,-0.8124175109,0.9943937128,-0.8391780089,0.5366327838
2050,-0.9087215473,0.9977970847,-0.8780908888,0.4983920716
2051,-0.9407343198,0.993692579,-0.3528554052,0.1210305458
2052,-0.9597102733,0.9938921173,-0.4837426625,0.2638740567
2053,-0.9675145649,0.9909190827,-0.07415730091,-0.1998964298
2054,-0.977120562,0.5258693017,0.7778764822,-0.02937550168
2055,-0.9801343326,0.5722097313,0.7513326463,-0.06584455658
2056,-0.9836174122,0.7739596745,0.7785909175,-0.2164888015
2057,-0.9835252654,0.7706495163,0.8331682187,-0.3750939172
2058,-0.9871368888,0.7453966556,0.8722376527,-0.4843136304
2059,-0.9883085796,0.6170792046,0.6968573471,-0.02816056407
2060,-0.992955077,0.1781761318,0.8318095502,-0.1400930492
2061,-0.979317499,-0.8476424249,0.8551585212,-0.2651293215
2062,-0.9941680148,-0.4380231919,0.8881548459,-0.1801706312
2063,-0.9939649203,0.2012097059,0.6140087431,-0.08378908813
2064,-0.9821977349,-0.0004001288006,0.193863374,-0.02722319779
2065,-0.9821267101,0.01619274097,0.5216262721,-0.4950747394
2066,-0.9810627396,-0.1084596305,0.5301985916,-0.4626785192
2067,-0.9894829083,-0.2203819351,0.6007079957,-0.7082846215
2068,-0.9949832718,0.1971749422,0.4563728118,-0.6873161803
2069,-0.9743046003,-0.2603825612,0.2421013382,-0.6903887124
2070,-0.9666717148,-0.4327912061,0.2309753038,-0.6978542859
2071,-0.9555672619,-0.4716755643,0.08911898184,-0.6848369747
2072,-0.9410945761,-0.517518646,0.05897963606,-0.6852927705
2073,-0.9214984685,-0.5491843443,-0.04062096451,-0.6834927208
2074,-0.9700344811,-0.3697559255,0.3833324298,-0.7293571482
2075,-0.8505298713,-0.4413080348,-0.2643810382,-0.678988667
2076,-0.8635410391,-0.1242907985,-0.5536639391,-0.6371314299
2077,-0.921737711,0.7065597791,-0.8763066382,-0.488557541
2078,-0.8986176791,0.9634474015,-0.9870066681,-0.5045905949
2079,-0.9329883715,0.9098561584,-0.9865096325,-0.468287882
2080,-0.9376284257,0.8557749514,-0.9676110112,-0.4631179752
2081,-0.9470895799,0.7345434696,-0.9496605779,-0.4240331067
2082,-0.9808058444,0.6684175162,-0.8256578043,-0.293700557
2083,-0.9930127836,-0.2140563121,0.111446697,-0.3256637196
2084,-0.9903892206,0.1437820706,-0.004770530976,-0.2866757107
2085,-0.9774171343,0.5885398765,-0.518328172,-0.3017188476
2086,-0.9886635841,0.7505628653,-0.6299758828,-0.3025488518
2087,-0.9991684104,0.9955196319,-0.3325906588,-0.2077200813
2088,-0.9992876983,0.9956111676,-0.2178373019,-0.2165740117
2089,-0.9979311463,0.896342955,0.5475119986,-0.2536259177
2090,-0.9990584664,0.9367905778,0.7386932802,-0.2204072397
2091,-0.9977909784,0.9132127184,0.1673573035,-0.1899598364
2092,-0.997738249,0.8976232876,0.4784037802,-0.2310887019
2093,-0.9976979597,0.8914076235,0.5451095197,-0.2070783338
2094,-0.9976138995,0.8856451381,0.5803767192,-0.20955795
2095,-0.9974475456,0.8663791516,0.6212116765,-0.2242856068
2096,-0.9970829077,0.8177990543,0.6806498526,-0.2493727737
2097,-0.9965306544,0.7379762636,0.7359197979,-0.2821153192
2098,-0.9956641961,0.6069700819,0.7852023666,-0.3249412918
2099,-0.993968949,0.3303058841,0.8400625584,-0.3967334535
2100,-0.9862564928,-0.5121220748,0.8286746839,-0.1498769125
2101,-0.9871485756,0.4694606861,0.7161142088,-0.5132451307
2102,-0.9848320495,0.2340154825,0.7697963935,-0.5312041915
2103,-0.9778510207,0.02129030957,0.8394375437,-0.5631298066
2104,-0.9690278354,-0.3241260346,0.8583260551,-0.6176641025
2105,-0.9500473425,-0.5762741907,0.8905452943,-0.6570438512
2106,-0.9337818466,-0.6774249306,0.9028030085,-0.677610329
2107,-0.899431639,-0.6695264888,0.7764528358,-0.2816403125
2108,-0.8646513473,-0.777877585,0.8764687549,-0.7311500197
2109,-0.8358085552,-0.8391228034,0.9266410959,-0.6765676565
2110,0.03550597076,-0.3147065674,-0.9666464485,0.3197269495
2111,0.8697243052,0.09427581229,-0.9932651337,-0.5294659348
2112,0.4714981222,-0.3136233763,-0.8193843795,0.7846883001
2113,-0.04023317826,0.9019779053,-0.9928073478,-0.361536287
2114,-0.01193547449,0.9618237847,-0.5884537842,-0.03303584327
2115,-0.04147258756,0.9430288936,-0.2641077604,-0.03171092959
2116,0.04631291122,0.3154053592,0.7143547561,-0.2857332686
2117,0.01691182273,-0.5405995016,0.6225220978,0.1620852779
2118,0.1292095234,-0.4502246176,0.8451939604,-0.4440233051
2119,0.3936867449,-0.5628638126,0.6563540829,0.2460663779
2120,0.4358228111,-0.1941775703,0.5866528506,-0.09079398807
2121,0.5379443489,-0.1467191955,0.3426471872,0.04080425835
2122,0.6304612877,0.004616427101,0.1789719358,0.01689455781
2123,0.007342700952,0.9750830114,-0.5340477993,-0.04853075769
2124,-0.02926858875,0.9874897406,-0.4001893981,-0.07531635153
2125,-0.1187070841,0.987064088,-0.4500291181,-0.0949291757
2126,0.1488236684,0.7968816671,0.6950849996,-0.2685468692
2127,0.1969753834,0.7550654254,0.5358686311,0.03495179532
2128,0.307032508,0.6889112628,0.624012534,-0.1976343824
2129,0.3655902865,0.5377968173,0.6202582465,-0.02473842856
2130,0.4223405982,0.3455508544,0.6770402772,-0.06751954959
2131,0.4917356125,-0.002112456857,0.757799901,-0.08309618479
2132,0.6250463341,-0.7811788505,0.9135843937,-0.3294440312
2133,0.6237537885,-0.2994402733,0.9029570243,-0.6182991606
2134,0.5530191123,0.1737722894,0.1520360777,-0.317134
2135,0.7853131072,-0.03963679241,-0.08287344917,-0.006225156619
2136,0.8757941257,0.125098833,-0.5413641957,0.1083397336
2137,0.6822164046,0.7656916694,-0.7343066605,0.2515026926
2138,0.3989084356,0.9850301815,-0.9234437223,0.2177486568
2139,0.4462105311,0.9807109882,-0.8376415636,-0.195675422
2140,0.3213759084,0.9735400254,-0.6512822641,0.000553131561
2141,0.3002187598,0.9649375053,-0.7121141715,-0.1635072046
2142,0.2318979061,0.9455337226,-0.611325018,0.0517922765
2143,0.4638876014,0.3637535013,0.6215613516,-0.2232653987
2144,0.4425639838,-0.1073653221,0.4606220002,0.03571291541
2145,-0.1556177335,-0.6616541816,0.9412699654,-0.08980350256
2146,-0.03090306448,-0.4152645577,0.9264363107,-0.06910253596
2147,0.3676458862,-0.2580659044,0.923736511,-0.4467284325
2148,-0.2297075993,0.6415941602,0.6642064805,0.1725978224
2149,0.8857264496,-0.2382207759,0.4130117101,-0.2789835645
2150,0.5583873851,-0.6387035826,0.8691673239,-0.05939809345
2151,0.1538951035,-0.4991663522,0.7105428197,-0.00989053181
2152,0.7958305628,-0.8402133509,0.4607267107,-0.006789010487
2153,0.3699192432,-0.5575410009,0.6588017342,0.08825698834
2154,0.4560858474,0.4499040684,-0.3168494969,0.4488781235
2155,0.451907684,0.8896178297,0.06957845175,0.03561433506
2156,0.349604403,0.8159606088,0.2065666094,-0.2102693232
2157,0.3416347698,0.6299120839,-0.2403249825,0.2875820113
2158,0.3600015806,0.9229776135,-0.4912811407,-0.4566195285
2159,0.2695434346,0.9193114506,-0.3119579709,0.2294353365
2160,0.1682143314,0.9491997023,-0.4433549775,-0.2102164094
2161,0.1013024259,0.8967730312,-0.1578158403,0.1818018997
2162,0.02962825957,0.9629682444,-0.4508924684,-0.0729396448
2163,-0.07273532876,0.8822149025,-0.0805182501,0.05550623854
2164,0.08884659339,-0.2246580578,0.8685846642,-0.3074764725
2165,-0.3878399327,-0.8575443053,0.9788500333,-0.02048475509
2166,-0.193687485,-0.4683394778,0.837768084,-0.06975667935
2167,0.2298658509,-0.4663899574,0.9228680381,-0.3426914332
2168,0.1704576056,-0.374527766,0.7969291124,-0.02054189928
2169,0.09998022833,-0.1913491959,0.5038528306,-0.182150161
2170,0.1944572372,-0.02705377068,0.2735596428,0.001429071827
2171,0.8082769807,-0.5994322364,-0.2294693234,0.01499459827
2172,0.7834415799,-0.4021851765,-0.3821354939,0.1707314442
2173,0.3522638538,0.249564636,-0.3183220335,0.1796511472
2174,0.1116260298,0.8755793242,-0.7421032305,0.3819001962
2175,0.01841657142,0.9808280099,-0.8200057927,0.1709538839
2176,-0.03821111586,0.9717471738,-0.4697651476,0.03229797462
2177,-0.08977500245,0.9647408334,-0.1930939566,-0.1720990928
2178,-0.2649499736,0.9586508491,-0.2992798875,-0.07875407762
2179,-0.3522658018,0.9682206697,-0.3829717945,-0.1239642134
2180,-0.3896121093,0.9719621342,-0.3299200452,-0.0769204346
2181,-0.3527961112,0.9783296954,-0.2450913943,-0.4059450356
2182,-0.4770177184,-0.2392934884,0.8652092417,-0.3034974358
2183,-0.5292284061,-0.5347438785,0.9533152294,-0.4908478771
2184,-0.5389156032,-0.2062224395,0.7331775326,-0.1703704268
2185,-0.5188202946,0.1011713459,0.3333989603,-0.02741697817
2186,-0.5956510456,0.9783551581,-0.7510073062,0.5141039189
2187,-0.06710402108,0.9624594469,-0.5431097478,0.05323293101
2188,-0.5077971199,0.9631588296,0.04863299746,-0.1937117701
2189,-0.3532369316,0.3573944655,0.8420062684,-0.4263226662
2190,-0.3535168677,0.2648801072,0.8900047308,-0.6033892708
2191,-0.5410609056,-0.5672608438,0.788319548,-0.4859432892
2192,-0.8968303996,0.8647121964,0.4253364632,-0.1489894619
2193,0.08716263505,0.7688013619,-0.7429095682,-0.2608649463
2194,-0.1940237602,0.8644203286,-0.5657037262,0.07125076034
2195,0.4880410425,-0.2396946722,-0.3587021888,-0.2535331741
2196,-0.374557732,-0.4174089871,0.07706378265,0.4722287467
2197,-0.6203511816,0.3534430006,0.6124692067,-0.02817288057
2198,0.3968937668,0.6439885696,0.3910979077,0.07585428824
2199,0.6748680269,-0.5005183803,0.7116406005,-0.4289708985
2200,-0.367969366,-0.696146509,0.8090028786,0.05057422846
2201,-0.6241446828,0.2264025535,0.6105968156,-0.2656080801
2202,-0.02093678253,-0.2982630435,0.4495570861,0.1779864205
2203,0.2143998369,0.07265863785,0.8869287188,-0.4245352522
2204,-0.01606568568,-0.5807910825,0.6689494483,-0.2160852335
2205,-0.06684142398,0.4519469532,0.08605735565,-0.005491133605
2206,0.6703000348,-0.1312025581,-0.3105025158,0.2301747695
2207,0.2461778198,0.3743262922,-0.02699794317,0.3669251905
2208,0.6520767546,0.4102815389,-0.5873791685,0.4287569465
2209,0.377635186,0.8103824269,-0.648541248,0.2633628203
2210,0.2379644538,0.8544058927,-0.7381544722,0.3417941615
2211,0.1785342548,0.793641534,-0.8054494526,0.367109788
2212,0.6341506827,-0.7003505998,-0.1649611989,0.3374197062
2213,-0.4063505305,-0.5095687778,0.7452544884,0.3377653545
2214,-0.1648430835,-0.5771733904,0.2311906875,0.2651585605
2215,-0.071141798,-0.4582032377,0.1347435565,0.2163797565
2216,0.02570396183,-0.3214313711,-0.1409461055,0.2694964527
2217,0.3446674379,-0.5614418053,-0.379643797,0.3459003363
2218,-0.4743045026,0.8596225389,-0.6353042842,0.6322481559
2219,0.4446306299,0.9335353703,-0.9850081354,0.70135784
2220,0.4133360539,0.9151061037,-0.8783865052,0.630229575
2221,0.3116538208,0.8946633083,-0.9319140779,0.618812909
2222,0.2736579238,0.8529664743,-0.8894177098,0.5833866595
2223,-0.6065145694,0.4514856045,-0.1022812393,0.6761246522
2224,0.02644812023,-0.9487862221,0.9090601278,-0.3072430406
2225,0.5260453051,0.6894293847,-0.2394465178,-0.3365696215
2226,0.7601983269,-0.9236403627,0.2866390295,-0.2862490005
2227,0.05521665175,-0.9431583726,0.8285353452,-0.2892245988
2228,0.7452412535,-0.9622551521,-0.2049966886,0.3179666316
2229,-0.321207399,0.2364607485,0.1901573056,0.3694094333
2230,0.6002135997,0.3768453097,-0.202387114,0.1195259158
2231,0.6313969918,0.7320982741,-0.5760806309,-0.1029861716
2232,0.1787003924,-0.6003991376,0.5044121071,0.3353399324
2233,-0.2835188581,0.4175082449,0.4499442461,-0.3614297602
2234,0.9654916119,0.3537390067,-0.9945297037,0.5941985825
2235,0.9410605957,-0.5493110137,-0.8431189114,0.2389143908
2236,0.7025906268,0.7714641735,-0.9061167042,0.2220565462
2237,0.8796453265,0.3462887673,-0.9525470318,-0.08338219893
2238,-0.1932965216,0.9739811129,0.8651055438,-0.1989802429
2239,0.06962137807,0.288724162,0.9819695168,-0.5944649746
2240,-0.08866453712,-0.5454247565,0.9976428677,-0.8558293457
2241,-0.1139989976,-0.5056788333,0.9860033367,-0.6011753335
2242,0.06954346854,0.1673934135,0.9557266046,-0.2156080228
2243,0.5367086062,-0.1985118834,0.7045595662,-0.06630085132
2244,0.3542981917,-0.1122935761,0.6485663685,0.2096692363
2245,0.8526011632,-0.1150715184,-0.3692031105,-0.01217471078
2246,0.7931786094,0.2748872088,-0.2993648678,0.2467433076
2247,0.02291319069,0.8824087211,0.09538800183,0.2165515412
2248,0.4928329973,0.9168245781,-0.3121631575,0.2055274497
2249,0.3766393355,0.9038859368,0.1373518143,0.01548214324
2250,0.3762031774,0.9514389736,0.1578343908,-0.1802454256
2251,0.315119472,0.9319200621,-0.07038446476,-0.07502411294
2252,0.3462281529,0.9535648185,-0.1435634148,-0.475937933
2253,0.363154989,0.9637074612,0.275257318,-0.08086612708
2254,0.323264279,0.9580380226,0.4500644232,0.3086098597
2255,0.1264273436,0.9652242018,0.3488664916,0.173672089
2256,0.08076254862,0.9618051932,0.7702066271,0.04996489549
2257,0.1241212283,0.9090985672,0.9020055223,-0.2648891358
2258,0.4505954251,-0.03051045359,0.9641891295,-0.6028416301
2259,0.1960968039,-0.6571134978,0.9768296333,-0.7202696839
2260,0.360147309,0.1374352608,0.9482619857,-0.04477446135
2261,0.7367682717,-0.1059588566,0.85668226,0.156398736
2262,0.6281565984,0.1999222503,0.6491848432,0.04584352121
2263,0.894518535,-0.3004847996,-0.039557853,-0.03501102163
2264,0.6943837806,-0.2093410734,0.4829656953,0.0271780669
2265,0.7628357717,0.6805513769,-0.7019719198,0.3110822747
2266,0.5337625566,0.9357864194,-0.8021863625,0.614964124
2267,0.5160802689,0.9651255393,-0.5003849134,0.3769261872
2268,0.4764567515,0.9382080559,0.04360814725,0.2551550934
2269,0.5478048142,0.9309826328,0.2209324454,-0.04491929323
2270,0.4421719717,0.8961141333,0.7611685643,-0.1084815811
2271,0.2641053677,0.8264704691,0.8664711457,-0.3618168147
2272,0.3146406935,0.1470537204,0.9814864289,-0.3950653334
2273,-0.1571334201,-0.4589230896,0.9799808724,-0.3870358869
2274,0.2531538761,-0.4350965128,0.9802206318,-0.1711625928
2275,0.2928039413,-0.3787263356,0.9157537343,0.1999341271
2276,0.1750985961,-0.3809943734,0.7866060064,-0.1775804302
2277,0.4665337673,-0.003832744853,0.8673057876,0.0866020834
2278,0.381230353,-0.147404012,0.2760372797,0.187418828
2279,0.5890011368,-0.2574534217,0.2614227572,0.1011503677
2280,0.2470035028,0.9070692419,-0.5698469062,0.6078674873
2281,0.1527518577,0.9832102597,-0.7217589753,0.4944632059
2282,0.05830602036,0.9757456633,-0.3114772737,0.2835177719
2283,0.02137588554,0.9836996001,0.3834632428,0.1048463806
2284,-0.1256774432,0.9459496021,0.7903015162,-0.08159453857
2285,-0.007717423051,0.8699961959,0.9056671529,-0.3450942803
2286,0.1565557961,0.1151383858,0.9590043376,-0.6445931308
2287,0.0504340204,-0.6959872039,0.9674269052,-0.6432196032
2288,-0.2203086942,-0.4714336035,0.9868558497,-0.2923403236
2289,0.1051530472,-0.0546735161,0.9056644786,-0.07996580784
2290,0.3849517757,-0.05514134442,0.925273246,0.06065913736
2291,0.4132624645,0.1843941212,0.7825751837,0.1249331335
2292,0.8174560466,-0.4396091732,0.2036851379,-0.2584930777
2293,0.3567557848,0.6424120797,-9.80E-05,0.04554667345
2294,0.1155328184,0.9564773253,-0.7815504845,0.2362440691
2295,-0.03509363994,0.9679569348,-0.7918836593,0.6550475068
2296,-0.02744913896,0.9731776884,-0.4550332865,0.5774045364
